,Prediction,Answer
228,42.38125,40.75
229,42.272106,40.55
230,42.171543,40.4
231,42.06188,40.85
232,41.96252,41.25
233,41.900597,41.35
234,41.87824,41.6
235,41.876198,41.8
236,41.90978,42.45
237,41.99635,42.55
238,42.122482,42.9
239,42.261803,42.0
240,42.386208,42.1
241,42.491936,42.55
242,42.60083,42.5
243,42.70844,42.5
244,42.80155,42.65
245,42.905643,43.4
246,43.042595,43.0
247,43.188534,42.85
248,43.31778,42.7
249,43.41429,42.35
250,43.4819,42.6
251,43.52675,42.85
252,43.567883,43.1
253,43.614567,42.7
254,43.64531,45.8
255,43.86287,45.7
256,44.131123,45.55
257,44.35554,45.55
258,44.551918,46.15
259,44.756508,46.5
260,44.983685,46.55
261,45.20331,46.8
262,45.412216,46.7
263,45.611706,46.85
264,45.80902,46.8
265,45.9924,46.9
266,46.154995,46.7
267,46.301975,46.85
268,46.429615,47.2
269,46.544807,47.0
270,46.62571,47.9
271,46.695473,49.0
272,46.764748,50.4
273,46.856407,52.0
274,46.958065,55.699999999999996
275,47.031948,54.1
